quad_id,wrs2_code
031037UL,31037
031037UR,31037
031037LL,31037
031037LR,31037
031038UL,31038
031038UR,31038
031038LL,31038
031038LR,31038
031039UL,31039
031039UR,31039
031039LL,31039
031039LR,31039
031040UL,31040
031040UR,31040
031040LL,31040
031040LR,31040
032034UL,32034
032034UR,32034
032034LL,32034
032034LR,32034
032035UL,32035
032035UR,32035
032035LL,32035
032035LR,32035
032038UL,32038
032038UR,32038
032038LL,32038
032038LR,32038
032039UL,32039
032039UR,32039
032039LL,32039
032039LR,32039
033038UL,33038
033038UR,33038
033038LL,33038
033038LR,33038
